id,food_code,component,unity,value
581,BRC0270B,Lipídios,g,1.33
582,BRC0270B,Fibra alimentar,g,2.50
583,BRC0270B,Álcool,g,0.00
584,BRC0270B,Cinzas,g,1.27
585,BRC0270B,Colesterol,mg,0.00
586,BRC0270B,Ácidos graxos saturados,g,0.21
587,BRC0270B,Ácidos graxos monoinsaturados,g,0.29
588,BRC0270B,Ácidos graxos poliinsaturados,g,0.73
589,BRC0270B,Ácidos graxos trans,g,0.00
590,BRC0270B,Cálcio,mg,8.88
591,BRC0270B,Ferro,mg,0.18
592,BRC0270B,Sódio,mg,280.00
593,BRC0270B,Magnésio,mg,5.28
594,BRC0270B,Fósforo,mg,15.60
595,BRC0270B,Potássio,mg,133.00
596,BRC0270B,Manganês,mg,0.09
